orig_zip,dest_zip
27959,20395
59038,12121
22663,41501
93639,89439
28420,05743
68756,49701
25504,11569
19564,54471
04763,67058
66507,45317
35760,38803
45156,53804
72745,60440
21040,44107
42223,18848
38326,94204
27406,66946
90409,98801
49635,20044
70538,48654
65710,72765
29336,59065
76836,46899
53002,98503
48609,48370
13139,60085
98859,67146
95851,18614
37360,72070
30224,14220
98841,10312
81073,49818
11933,61334
26141,04912
12140,49902
67109,76852
23890,87417
80135,48324
23076,72392
52248,93502
60086,70456
64020,46285
06879,19548
30256,38737
85617,32618
10543,51570
40013,83666
42083,49530
93410,30909
89027,51247
78118,97473
72125,32904
37322,37069
49020,02113
08645,39341
97220,12521
23106,69214
64467,51446
56224,49812
53744,55983
22544,94545
38671,84111
10160,87312
60120,26544
48641,73564
70059,24007
96099,92544
12884,25671
76472,66864
11716,95689
37318,11560
40387,98083
10968,72543
37830,15032
98174,53801
77455,66616
14515,60194
11351,50076
34692,40508
88265,70177
64060,28657
61826,13143
55104,47713
08829,63446
34797,63051
58794,91012
01337,76626
46986,43551
28590,24888
01704,07624
10038,65646
11783,19549
57201,77027
21610,50521
64119,61750
45262,98391
73450,31815
44484,18660
28522,41833
67104,52577
03833,26348
01256,71474
11434,30074
33084,72512
47907,41604
68856,50164
47138,56304
29038,59067
57020,30530
59648,60615
74078,75551
27555,25002
46085,04677
48226,73189
07734,22103
16856,81024
76869,39088
95425,34729
02648,60410
77450,24529
43681,13039
75785,85249
03882,68847
43360,20115
25962,60055
38194,43623
98194,12568
49041,94702
44050,82937
51108,75169
92203,48187
69171,61482
48074,33859
10151,59424
58042,74169
66506,24011
03589,71742
39436,35907
78067,38774
98643,79014
30806,29545
07710,22848
95380,53029
93651,49092
46250,56360
31637,28749
29137,29560
61012,74072
59866,10958
03588,52242
61325,92868
72482,85225
29611,34136
37901,78757
35647,23047
21609,63179
82513,97013
01803,19001
95269,97214
20330,11550
80424,46895
12976,63026
47541,68532
06516,87013
75052,49820
56144,31035
12151,72370
12461,56060
75750,35502
81151,99350
27521,12776
75958,49877
17608,37369
47944,38317
95372,35147
64433,85326
02130,41568
51442,35548
73001,83246
79256,69021
46172,40201
80525,92358
75681,40208
45388,10125
47902,85283
54470,71045
37077,53518
53259,48086
02919,47708
91770,23960
21843,90307
97122,35541
62325,37181
53714,73773
73121,15352
76270,62841
11222,80465
08733,87507
63151,38559
88415,98014
42718,62272
83616,76206
33112,33571
48233,54514
59914,48322
81003,98561
62947,96142
28352,84004
47226,16225
74074,48116
65438,77018
65264,83611
95379,15448
20136,56920
31011,80457
55053,38674
11797,10213
90731,15214
25572,66061
75432,50306
49434,28909
44275,92198
12430,84337
33181,51462
05472,27722
37544,93424
89508,30277
59930,99008
30635,36915
04956,66961
31302,65664
17754,73552
19492,56173
48046,42054
77447,34771
02822,94208
08758,36856
41051,05839
10005,39209
16732,68716
64471,02823
77530,53549
35964,15025
85603,87544
90293,61008
95115,46156
45745,57368
54850,05661
45390,93944
31515,49908
63559,63114
12759,32158
08525,83854
19131,61859
55927,24036
98277,94274
95052,30252
98203,05901
01705,51004
24062,15458
45263,93220
54650,70607
38674,30447
96135,79534
62253,54874
18068,85350
28090,17342
78228,76043
93512,57438
29631,61753
49717,83834
32116,12137
61709,37385
18601,80538
68827,12926
27701,11354
17062,46227
15028,06505
79027,26802
35972,08618
27228,55320
64772,29642
33570,68516
11577,20055
90032,42327
48758,54628
20546,06702
15902,36851
35971,77456
44730,24826
23701,39044
02638,29843
03843,16248
07105,44050
10504,38145
23838,36118
79755,05777
75780,53925
75765,10962
06103,32736
87750,64426
70453,48857
36263,97312
88256,53152
59736,96157
30306,78636
70780,78206
80603,70822
27199,08036
32712,97641
38821,02839
50558,93777
68405,93558
12057,30004
89107,63138
75932,15057
